111102222:-1.0, -1.0, -1.0, -1.0, 1.0, 0.5, 0.5, 0.5, 0.5
111000222:-1.0, -1.0, -1.0, 0.6924900063182998, 0.622379365651275, 0.905, 0.5, 0.5, 0.5
110000022:-1.0, -1.0, 0.6411238704604597, 0.6425069219951429, 0.8237749999999999, 0.5, 0.5, 0.5, 0.5
100000002:-1.0, 0.5411155839069126, 0.7063919487497363, 0.7125378214156655, 0.7072274110995994, 0.7065149279343904, 0.7064938523715869, 0.5, 0.5
000000000:0.6017375282432318, 0.7933429153176905, 0.5979375694850844, 0.7817883753471014, 0.6036956604481656, 0.6081151885047794, 0.6080261650824986, 0.7820859285447703, 0.5966399659912799
111221220:-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0
111220020:-1.0, -1.0, -1.0, -1.0, -1.0, 0.6481638045394996, 0.905, 0.5, 0.5
110020020:-1.0, -1.0, 0.7088088835338782, 0.8339786184585147, 0.5, 0.5, 0.5, 0.5, 0.5
100020000:-1.0, 0.7372188726857519, 0.715061731249737, 0.7179560300169001, 0.5, 0.5, 0.5, 0.5, 0.5
111210222:-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 0.5, 0.5, 0.5
111200220:-1.0, -1.0, -1.0, -1.0, 0.7675808134046714, 0.905, 0.5, 0.5, 0.5
110200200:-1.0, -1.0, 0.8664270683739895, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
100000200:-1.0, 0.6900190537078467, 0.7094867907722501, 0.6911398832254383, 0.6892383968511899, 0.6935738416217503, 0.5, 0.5, 0.5
111122022:-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 0.5, 0.5
111022020:-1.0, -1.0, -1.0, 0.905, 0.5, 0.5, 0.5, 0.5, 0.5
110002020:-1.0, -1.0, 0.8212762716687844, 0.8237749999999999, 0.5, 0.5, 0.5, 0.5, 0.5
